symbol,price,market_cap,sector
COFFEEDAY.NS,26.5,559,Consumer Cyclical
COFORGE.NS,1197.1,40204,Technology
COHANCE.NS,480.7,18407,Healthcare
COLPAL.NS,2100.0,57116,Consumer Defensive
COMSYN.NS,153.0,617,Consumer Cyclical
CONCOR.NS,508.15,38701,Industrials
CONCORDBIO.NS,1138.5,11910,Healthcare
CONFIPET.NS,54.01,1794,Energy
CONSOFINVT.NS,225.0,727,Financial Services
CONTROLPR.NS,639.0,1022,Industrials
CORALFINAC.NS,34.7,139,Real Estate
CORDSCABLE.NS,179.0,231,Industrials
COROMANDEL.NS,1994.8,58790,Basic Materials
CORONA.NS,1730.0,0,Healthcare
COSMOFIRST.NS,715.0,1856,Consumer Cyclical
CPCAP.NS,94.5,171,Financial Services
CPEDU.NS,215.0,391,Consumer Defensive
CPPLUS.NS,2325.0,27388,Industrials
CRAFTSMAN.NS,7667.0,18290,Consumer Cyclical
CRAMC.NS,254.2,5069,Financial Services
CREDITACC.NS,1300.0,20810,Financial Services
CREST.NS,367.95,1040,Financial Services
CRISIL.NS,4270.0,31226,Financial Services
CRIZAC.NS,210.0,3674,Consumer Defensive
CROMPTON.NS,270.8,17699,Consumer Cyclical
CROWN.NS,129.93,145,Industrials
CSBBANK.NS,386.0,6541,Financial Services
CSLFINANCE.NS,226.0,508,Financial Services
CTE.NS,33.16,63,Technology
CUB.NS,270.0,20063,Financial Services
CUBEXTUB.NS,98.01,140,Basic Materials
CUMMINSIND.NS,5269.8,146078,Industrials
CUPID.NS,119.99,16134,Consumer Defensive
CURAA.NS,101.99,100,Technology
CYBERTECH.NS,127.0,395,Technology
CYIENT.NS,872.35,9634,Industrials
CYIENTDLM.NS,394.75,3132,Technology
DABUR.NS,442.95,78565,Consumer Defensive
DAICHI.NS,263.05,0,
DALBHARAT.NS,1905.9,35779,Basic Materials
DALMIASUG.NS,398.15,3222,Consumer Defensive
DAMCAPITAL.NS,153.77,1086,Financial Services
DAMODARIND.NS,32.09,74,Consumer Cyclical
DATAMATICS.NS,737.0,4356,Technology
DATAPATTNS.NS,4078.8,22834,Industrials
DBCORP.NS,215.35,3838,Communication Services
DBEIL.NS,85.43,397,Industrials
DBL.NS,461.25,7492,Industrials
DBOL.NS,125.43,825,Consumer Defensive
DBREALTY.NS,103.4,5608,Real Estate
DBSTOCKBRO.NS,27.13,94,Financial Services
DCAL.NS,183.79,2881,Healthcare
DCBBANK.NS,187.0,6019,Financial Services
DCI.NS,286.9,470,Technology
DCM.NS,82.6,154,Industrials
DCMNVL.NS,142.5,266,Consumer Cyclical
DCMSHRIRAM.NS,1208.0,18705,Industrials
DCMSIL.NS,65.55,570,Industrials
DCMSRIND.NS,43.0,374,Consumer Defensive
DCW.NS,47.3,1650,Basic Materials
DCXINDIA.NS,201.75,2247,Industrials
DDEVPLSTIK.NS,251.5,2602,Basic Materials
DECCANCE.NS,652.0,913,Basic Materials
DECNGOLD.NS,124.5,0,
DEEDEV.NS,417.6,2892,Industrials
DEEPAKFERT.NS,1242.75,15704,Basic Materials
DEEPAKNTR.NS,1737.6,23699,Basic Materials
DEEPINDS.NS,487.85,3122,Energy
DELHIVERY.NS,467.0,34964,Industrials
DELTACORP.NS,71.0,1901,Consumer Cyclical
DELTAMAGNT.NS,61.5,66,Consumer Cyclical
DEN.NS,27.72,1321,Communication Services
DENORA.NS,859.95,456,Industrials
DENTA.NS,278.01,742,Industrials
DEVIT.NS,31.56,177,Technology
DEVX.NS,42.67,384,Real Estate
DEVYANI.NS,125.15,15430,Consumer Cyclical
DGCONTENT.NS,31.25,181,Communication Services
DHAMPURSUG.NS,157.5,1012,Consumer Defensive
DHANBANK.NS,30.58,1206,Financial Services
DHANUKA.NS,1082.0,4877,Basic Materials
DHARMAJ.NS,260.05,878,Basic Materials
DHRUV.NS,35.29,66,Industrials
DHUNINV.NS,912.45,556,Financial Services
DIACABS.NS,157.01,8273,Industrials
DIAMINESQ.NS,262.0,263,Basic Materials
DIAMONDYD.NS,999.0,2388,Consumer Defensive
DICIND.NS,523.6,480,Basic Materials
DIFFNKG.NS,305.0,1132,Industrials
DIGIDRIVE.NS,24.0,92,Consumer Cyclical
DIGISPICE.NS,20.9,490,Financial Services
DIGITIDE.NS,96.64,1440,Industrials
DIGJAMLMTD.NS,45.75,91,Consumer Cyclical
DISAQ.NS,12265.0,0,
DIVGIITTS.NS,722.0,2208,Consumer Cyclical
DIVISLAB.NS,6508.0,172766,Healthcare
DIXON.NS,11220.0,68089,Technology
DJML.NS,92.89,306,Industrials
DLF.NS,587.15,145337,Real Estate
DLINKINDIA.NS,451.0,1601,Technology
DMART.NS,4614.0,300889,Consumer Defensive
DMCC.NS,276.01,688,Basic Materials
DODLA.NS,1089.0,6569,Consumer Defensive
DOLATALGO.NS,77.5,1363,Financial Services
DOLLAR.NS,306.12,1736,Consumer Cyclical
DOLPHIN.NS,419.75,1679,Energy
DOMS.NS,2290.6,13901,Industrials
DONEAR.NS,91.0,473,Consumer Cyclical
DPABHUSHAN.NS,1035.05,2362,Consumer Cyclical
DPWIRES.NS,178.06,276,Industrials
DRAGARWQ.NS,4995.0,0,
DREAMFOLKS.NS,81.98,436,Industrials
DREDGECORP.NS,940.0,2631,Industrials
DRREDDY.NS,1325.0,110318,Healthcare
DSFCL.NS,26.11,227,Basic Materials
DSSL.NS,1082.5,1378,Technology
DTIL.NS,139.0,146,Consumer Defensive
DVL.NS,240.4,841,Financial Services
DWARKESH.NS,47.26,875,Consumer Defensive
DYCL.NS,370.99,1797,Industrials
DYNAMATECH.NS,11740.0,7973,Consumer Cyclical
DYNPRO.NS,223.0,277,Basic Materials
E2E.NS,2890.0,5773,Technology
EASTSILK.NS,59.1,29,Consumer Cyclical
EBGNG.NS,424.7,4842,Technology
ECLERX.NS,1430.0,13326,Technology
ECOSMOBLTY.NS,137.5,824,Industrials
EDELWEISS.NS,114.0,10790,Financial Services
EFCIL.NS,195.0,2677,Real Estate
EICHERMOT.NS,7110.0,195037,Consumer Cyclical
EIDPARRY.NS,844.4,15024,Basic Materials
EIEL.NS,212.5,3730,Industrials
EIFFL.NS,250.0,620,Consumer Defensive
EIHAHOTELS.NS,324.95,1980,Consumer Cyclical
EIHOTEL.NS,319.5,19980,Consumer Cyclical
EIMCOELECO.NS,1597.0,921,Industrials
EKC.NS,119.26,1338,Industrials
ELANTAS.NS,9540.5,0,Basic Materials
ELCIDIN.NS,124001.0,0,
ELDEHSG.NS,815.2,801,Real Estate
ELECON.NS,508.0,11399,Industrials
ELECTCAST.NS,81.91,5063,Industrials
ELECTHERM.NS,806.2,1027,Basic Materials
ELGIEQUIP.NS,547.2,17250,Industrials
